ID,Bundle Name,File Name
0,Arcuate fascicle left,AF_left
1,Arcuate fascicle right,AF_right
2,Anterior Thalamic Radiation left,ATR_left
3,Anterior Thalamic Radiation right,ATR_right
4,Commissure Anterior,CA
5,Rostrum,CC_1
6,Genu,CC_2
7,Rostral body (Premotor),CC_3
8,Anterior midbody (Primary Motor),CC_4
9,Posterior midbody (Primary Somatosensory),CC_5
10,Isthmus,CC_6
11,Splenium,CC_7
12,Corpus Callosum - all,CC
13,Cingulum left,CG_left
14,Cingulum right,CG_right
15,Corticospinal tract left,CST_left
16,Corticospinal tract right,CST_right
17,Fronto-pontine tract left,FPT_left
18,Fronto-pontine tract right,FPT_right
19,Fornix left,FX_left
20,Fornix right,FX_right
21,Inferior cerebellar peduncle left,ICP_left
22,Inferior cerebellar peduncle right,ICP_right
23,Inferior occipito-frontal fascicle left,IFO_left
24,Inferior occipito-frontal fascicle right,IFO_right
25,Inferior longitudinal fascicle left,ILF_left
26,Inferior longitudinal fascicle right,ILF_right
27,Middle cerebellar peduncle,MCP
28,Middle longitudinal fascicle left,MLF_left
29,Middle longitudinal fascicle right,MLF_right
30,Optic radiation left,OR_left
31,Optic radiation right,OR_right
32,Parieto-occipital pontine left,POPT_left
33,Parieto-occipital pontine right,POPT_right
34,Superior cerebellar peduncle left,SCP_left
35,Superior cerebellar peduncle right,SCP_right
36,Superior longitudinal fascicle III left,SLF_III_left
37,Superior longitudinal fascicle III right,SLF_III_right
38,Superior longitudinal fascicle II left,SLF_II_left
39,Superior longitudinal fascicle II right,SLF_II_right
40,Superior longitudinal fascicle I left,SLF_I_left
41,Superior longitudinal fascicle I right,SLF_I_right
42,Striato-fronto-orbital left,ST_FO_left
43,Striato-fronto-orbital right,ST_FO_right
44,Striato-occipital left,ST_OCC_left
45,Striato-occipital right,ST_OCC_right
46,Striato-parietal left,ST_PAR_left
47,Striato-parietal right,ST_PAR_right
48,Striato-postcentral left,ST_POSTC_left
49,Striato-postcentral right,ST_POSTC_right
50,Striato-precentral left,ST_PREC_left
51,Striato-precentral right,ST_PREC_right
52,Striato-prefrontal left,ST_PREF_left
53,Striato-prefrontal right,ST_PREF_right
54,Striato-premotor left,ST_PREM_left
55,Striato-premotor right,ST_PREM_right
56,Superior Thalamic Radiation left,STR_left
57,Superior Thalamic Radiation right,STR_right
58,Thalamo-occipital left,T_OCC_left
59,Thalamo-occipital right,T_OCC_right
60,Thalamo-parietal left,T_PAR_left
61,Thalamo-parietal right,T_PAR_right
62,Thalamo-postcentral left,T_POSTC_left
63,Thalamo-postcentral right,T_POSTC_right
64,Thalamo-precentral left,T_PREC_left
65,Thalamo-precentral right,T_PREC_right
66,Thalamo-prefrontal left,T_PREF_left
67,Thalamo-prefrontal right,T_PREF_right
68,Thalamo-premotor left,T_PREM_left
69,Thalamo-premotor right,T_PREM_right
70,Uncinate fascicle left,UF_left
71,Uncinate fascicle right,UF_right
